■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2020-06-04,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2010~2019   국적 : 전체   영화명 : 전체   개봉일 : 전체   영화구분 : 전체   영화유형 : 개봉영화    ],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,"전국
스크린수","전국
매출액","전국
관객수","서울
매출액","서울
관객수",장르,등급,영화구분
881,에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,개봉영화,장편,미국,331,"3,055,119,748","332,180","1,071,862,248","107,240",어드벤처,12세이상관람가,일반영화
882,위자: 저주의 시작,마이크 플래너건,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-09,개봉영화,장편,미국,467,"2,637,517,406","331,877","558,041,806","67,022",공포(호러),12세이상관람가,일반영화
883,무서운 이야기,"정범식,임대웅,홍지영,김곡,김선,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2012-07-25,개봉영화,옴니버스,한국,274,"2,452,368,566","331,760","677,799,507","87,835",공포(호러),청소년관람불가,일반영화
884,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,,씨제이이앤엠(주),씨제이이앤엠(주),2016-07-20,개봉영화,장편,일본,403,"2,466,913,080","330,665","441,346,600","56,343",애니메이션,전체관람가,일반영화
885,킬러스,로버트 루게틱,"카탈스트 필름,라이온스 게이트 필름즈",(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,개봉영화,장편,미국,280,"2,428,979,292","329,086","914,463,000","117,566",액션,15세이상관람가,일반영화
886,선 오브 갓,크리스토퍼 스펜서,,(주)수키픽쳐스,(주)프레인글로벌,2014-04-10,개봉영화,장편,미국,419,"2,392,109,800","329,029","797,747,600","105,184",드라마,12세이상관람가,일반영화
887,링컨 차를 타는 변호사,브래드 퍼맨,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-06-16,개봉영화,장편,미국,241,"2,443,603,500","327,612","1,119,703,000","143,907",범죄,15세이상관람가,일반영화
888,잭 라이언 : 코드네임 쉐도우,케네스 브래너,,씨제이이앤엠(주),씨제이이앤엠(주),2014-01-16,개봉영화,장편,미국,419,"2,395,409,500","327,591","702,109,000","91,949",액션,12세이상관람가,일반영화
889,미드나잇 선,스콧 스피어,,(주)우성엔터테인먼트,"(주)삼백상회,씨네그루(주)키다리이엔티",2018-06-21,개봉영화,장편,미국,472,"2,679,300,500","326,086","960,276,400","114,250",멜로/로맨스,12세이상관람가,독립/예술영화
890,스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-18,개봉영화,장편,미국,357,"2,458,946,200","325,016","512,218,000","65,131",애니메이션,전체관람가,일반영화
891,사랑하기 때문에,주지홍,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2017-01-04,개봉영화,장편,한국,542,"2,538,169,440","324,420","516,573,040","63,326",코미디,12세이상관람가,일반영화
892,희생부활자,곽경택,"(주)영화사 신세계,(주)바른손이앤에이",,(주)쇼박스,2017-10-12,개봉영화,장편,한국,781,"2,515,479,835","323,628","524,639,435","64,620",미스터리,15세이상관람가,일반영화
893,헬보이,닐 마샬,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2019-04-10,개봉영화,장편,미국,726,"2,776,406,321","323,098","767,125,181","86,763",액션,청소년관람불가,일반영화
894,아담스 패밀리,"그렉 티어넌,콘래드 베논",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-11-07,개봉영화,장편,미국,802,"2,565,386,140","321,726","547,729,100","64,971",애니메이션,전체관람가,일반영화
895,옥자,봉준호,"플랜 비 엔터테인먼트,(주)루이스 픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-06-29,개봉영화,장편,미국,111,"2,432,883,900","321,550","1,394,437,900","168,121",어드벤처,12세이상관람가,일반영화
896,블레이드 러너 2049,드니 빌뇌브,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10-12,개봉영화,장편,미국,664,"2,760,845,365","321,018","1,162,877,565","128,723",SF,15세이상관람가,일반영화
897,극적인 하룻밤,하기호,"(주)연우무대,(주)인사이드픽쳐스",,CGV아트하우스,2015-12-03,개봉영화,장편,한국,434,"2,610,929,429","320,923","778,081,829","92,279",멜로/로맨스,청소년관람불가,일반영화
898,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",유야마 쿠니히코,,(주)포켓몬코리아,씨제이이앤엠(주),2014-01-09,개봉영화,장편,일본,406,"2,080,468,500","320,409","450,597,500","66,391",애니메이션,전체관람가,일반영화
899,아기배달부 스토크,"니콜라스 스톨러,더그 스윗랜드",,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-12-07,개봉영화,장편,미국,538,"2,415,830,200","320,353","465,509,400","57,099",애니메이션,전체관람가,일반영화
900,뮨: 달의 요정,"알렉상드르 헤보얀,베노이트 필립폰",,(주)스마일이엔티,씨네그루(주)다우기술,2015-09-24,개봉영화,장편,프랑스,365,"2,331,900,700","319,072","474,814,300","62,132",애니메이션,전체관람가,독립/예술영화
901,빅풋 주니어,"제레미 드그루손,벤 스타센",,"(주)퍼스트런,유니콘미디어(주)",(주)이수C&E,2017-08-09,개봉영화,장편,벨기에,437,"2,245,548,900","318,737","451,385,400","60,164",애니메이션,전체관람가,독립/예술영화
902,검우강호,오우삼,베이징,(주)포커스엔터테인먼트,(주)에스비에스콘텐츠허브,2010-10-14,개봉영화,장편,홍콩,343,"2,281,559,914","318,157","688,397,000","91,725",액션,15세이상관람가,일반영화
903,도리화가,이종필,"(주)영화사 담담,(주)어바웃필름",,씨제이이앤엠(주),2015-11-25,개봉영화,장편,한국,563,"2,246,950,339","317,505","697,116,939","91,714",사극,12세이상관람가,일반영화
904,세상에서 가장 아름다운 이별,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2011-04-20,개봉영화,장편,한국,340,"2,295,897,500","316,788","830,311,000","109,685",드라마,15세이상관람가,일반영화
905,레드카펫,박범수,"씨네주(유),(주)누리픽쳐스",,(주)프레인글로벌,2014-10-23,개봉영화,장편,한국,385,"2,404,458,580","316,780","602,676,380","75,397",멜로/로맨스,15세이상관람가,일반영화
906,미녀와 야수,크리스토프 갱스,,(주)영화사선,(주)넥스트엔터테인먼트월드(NEW),2014-06-18,개봉영화,장편,프랑스,387,"2,385,847,300","315,348","745,899,100","94,306",판타지,전체관람가,일반영화
907,캐롤,토드 헤인즈,,주식회사 더쿱,CGV아트하우스,2016-02-04,개봉영화,장편,미국,221,"2,608,608,616","315,321","1,351,888,116","159,681",드라마,청소년관람불가,독립/예술영화
908,차이니즈 조디악,성룡,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2013-02-27,개봉영화,장편,중국,300,"2,211,711,500","315,305","591,907,500","80,680",액션,12세이상관람가,일반영화
909,번 더 스테이지: 더 무비,박준수,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",,월트디즈니컴퍼니코리아 유한책임회사,2018-11-15,개봉영화,장편,한국,243,"2,671,391,900","315,010","776,472,800","87,249",기타,전체관람가,일반영화
910,마이 블랙 미니드레스,허인무,(주)토리픽쳐스,,씨제이이앤엠(주),2011-03-24,개봉영화,장편,한국,325,"2,318,884,500","313,953","741,903,500","95,622",드라마,15세이상관람가,일반영화
911,비행기 2: 소방구조대,로버츠 개너웨이,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-08-13,개봉영화,장편,미국,341,"2,246,970,700","311,456","431,524,600","55,755",애니메이션,전체관람가,일반영화
912,트루스 오어 데어,제프 와드로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-05-22,개봉영화,장편,미국,530,"2,647,330,400","310,956","676,633,300","75,935",공포(호러),15세이상관람가,일반영화
913,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,개봉영화,장편,미국,561,"2,685,741,879","309,729","832,233,679","89,787",SF,12세이상관람가,일반영화
914,위대한 소원,남대중,주식회사 브레인샤워,,(주)넥스트엔터테인먼트월드(NEW),2016-04-21,개봉영화,장편,한국,524,"2,438,260,213","308,180","557,547,213","67,347",코미디,15세이상관람가,일반영화
915,가디언의 전설,잭 스나이더,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-10-28,개봉영화,장편,미국,268,"2,655,721,096","307,217","767,026,500","85,399",애니메이션,전체관람가,일반영화
916,빌리와 용감한 녀석들 2,닉힐 아드바니,,㈜코리아스크린,(주)에스비에스콘텐츠허브,2013-02-21,개봉영화,장편,인도,289,"2,006,325,000","306,837","384,270,500","55,552",애니메이션,전체관람가,일반영화
917,덕구,방수인,"(주)영화사두둥,(주)곰픽쳐스",,메가박스중앙(주)플러스엠,2018-04-05,개봉영화,장편,한국,544,"2,320,819,700","306,126","399,790,500","50,850",드라마,전체관람가,일반영화
918,개를 훔치는 완벽한 방법,김성호,(주)삼거리픽쳐스,,"(주)리틀빅픽쳐스,(주)대명문화공장",2014-12-31,개봉영화,장편,한국,205,"2,327,822,465","306,119","800,083,365","101,680",드라마,전체관람가,독립/예술영화
919,예스터데이,대니 보일,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-09-18,개봉영화,장편,미국,816,"2,572,745,100","305,504","976,853,610","113,089",드라마,12세이상관람가,일반영화
920,패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-07,개봉영화,장편,영국,408,"2,246,424,729","305,100","646,094,129","84,276",코미디,전체관람가,일반영화
921,포켓몬 더 무비 XY 후파: 광륜의 초마신,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2015-12-23,개봉영화,장편,일본,360,"2,156,275,800","300,477","412,792,200","55,992",애니메이션,전체관람가,일반영화
922,빌리와 용감한 녀석들 3D,"라인하드 클루스,호거 태프",,㈜코리아스크린,(주)에스비에스콘텐츠허브,2012-08-08,개봉영화,장편,독일,241,"1,961,238,000","299,434","348,695,500","48,327",애니메이션,전체관람가,일반영화
923,프랑켄슈타인: 불멸의 영웅,스튜어트 베티,,(주)다세포클럽,(주)쇼박스,2014-02-06,개봉영화,장편,미국,378,"2,174,134,123","298,983","609,747,623","80,083",액션,12세이상관람가,일반영화
924,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",,㈜코리아스크린,(주)박수엔터테인먼트,2015-02-12,개봉영화,장편,미국,330,"2,175,321,000","298,298","518,209,900","68,014",애니메이션,전체관람가,독립/예술영화
925,위험한 관계,허진호,,데이지엔터테인먼트,씨제이이앤엠(주),2012-10-11,개봉영화,장편,한국,334,"2,122,666,230","298,086","766,827,206","103,451",멜로/로맨스,청소년관람불가,일반영화
926,스포트라이트,토마스 맥카시,,주식회사 더쿱,(주)팝엔터테인먼트,2016-02-24,개봉영화,장편,미국,320,"2,390,611,755","297,944","1,201,355,355","146,498",드라마,15세이상관람가,일반영화
927,구스범스,롭 레터맨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-14,개봉영화,장편,미국,515,"2,221,639,712","297,356","607,220,925","79,043",액션,12세이상관람가,일반영화
928,로렉스,"크리스 리노드,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-05-03,개봉영화,장편,미국,463,"2,140,045,000","297,025","557,255,500","72,599",애니메이션,전체관람가,일반영화
929,모모와 다락방의 수상한 요괴들,오키우라 히로유키,프로덕션 I.G.,타임스토리그룹(주),타임스토리그룹(주),2012-07-05,개봉영화,장편,일본,253,"1,957,612,000","295,189","482,980,000","68,912",애니메이션,전체관람가,일반영화
930,포인트 브레이크,에릭슨 코어,,(주)나이너스엔터테인먼트,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-01-07,개봉영화,장편,미국,409,"2,323,707,051","294,320","648,350,064","79,524",범죄,15세이상관람가,일반영화
931,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,유야마 쿠니히코,,(주)포켓몬코리아,씨제이이앤엠(주),2011-12-22,개봉영화,장편,일본,226,"1,997,384,500","293,787","442,947,000","63,403",애니메이션,전체관람가,일반영화
932,미성년,김윤석,"(주)영화사레드피터,(주)화이브라더스코리아",,(주)쇼박스,2019-04-11,개봉영화,장편,한국,673,"2,493,769,950","293,258","856,799,740","98,387",드라마,15세이상관람가,일반영화
933,이스케이프 플랜,미카엘 하프스트롬,,판씨네마(주),판씨네마(주),2013-12-05,개봉영화,장편,미국,287,"2,105,280,679","292,655","685,515,679","91,130",액션,청소년관람불가,일반영화
934,베스트 키드,해럴드 즈워트,콜럼비아 픽쳐스 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-06-10,개봉영화,장편,미국,259,"2,066,507,505","292,529","567,302,000","75,364",가족,12세이상관람가,일반영화
935,"러브, 로지",크리스티안 디터,,우성엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2014-12-10,개봉영화,장편,영국,379,"2,225,917,646","292,430","939,240,646","119,128",코미디,15세이상관람가,일반영화
936,더 그레이,조 카나한,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2012-02-16,개봉영화,장편,미국,298,"2,198,959,500","292,217","740,129,000","93,961",액션,15세이상관람가,일반영화
937,앨빈과 슈퍼밴드: 악동 어드벤처,월트 벡커,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-02-04,개봉영화,장편,미국,380,"2,101,036,200","289,645","450,214,100","59,605",애니메이션,전체관람가,일반영화
938,런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-03-19,개봉영화,장편,미국,411,"2,293,671,495","289,534","623,115,595","76,106",액션,청소년관람불가,일반영화
939,천로역정: 천국을 찾아서,로버트 페르난데스,,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",2019-06-13,개봉영화,장편,미국,381,"2,145,534,510","288,377","472,244,590","58,785",애니메이션,전체관람가,독립/예술영화
940,배심원들,홍승완,반짝반짝영화사(주),,CGV아트하우스,2019-05-15,개봉영화,장편,한국,784,"2,303,130,090","288,113","724,211,930","86,835",드라마,12세이상관람가,일반영화
941,혼숨,이두환,(주)무비스퀘어,,(주)프레인글로벌,2016-10-26,개봉영화,장편,한국,498,"2,258,422,445","288,016","374,477,045","45,099",공포(호러),15세이상관람가,일반영화
942,기방도령,남대중,"주식회사 브레인샤워,(주)제이와이피픽쳐스",,판씨네마(주),2019-07-10,개봉영화,장편,한국,625,"2,327,760,190","286,806","546,588,070","65,509",코미디,15세이상관람가,일반영화
943,커뮤터,자움 콜렛 세라,,(주)미디어로그,메가박스중앙(주)플러스엠,2018-01-24,개봉영화,장편,영국,575,"2,286,590,955","286,042","669,150,055","82,592",액션,15세이상관람가,일반영화
944,신데렐라:마법 반지의 비밀,린 사우더랜드,,예지림엔터테인먼트,예지림엔터테인먼트,2019-02-20,개봉영화,장편,미국,575,"2,113,630,240","284,755","367,881,020","47,386",애니메이션,전체관람가,일반영화
945,후드,오토 바서스트,,(주)누리픽쳐스,(주)이수C&E,2018-11-28,개봉영화,장편,미국,628,"2,203,434,149","284,601","624,255,799","77,919",어드벤처,12세이상관람가,일반영화
946,네버엔딩 스토리,정용주,아일랜드픽처스(주),,(주)화앤담이엔티,2012-01-18,개봉영화,장편,한국,269,"2,106,823,000","283,449","638,022,000","81,476",코미디,15세이상관람가,일반영화
947,다이노 타임,"최윤석,존 카프카",주식회사 토이온,,씨제이이앤엠(주),2015-04-30,개봉영화,장편,한국,430,"2,099,683,100","283,300","405,724,600","52,818",애니메이션,전체관람가,일반영화
948,인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-03-25,개봉영화,장편,미국,480,"2,158,449,889","282,662","650,066,489","81,654",SF,15세이상관람가,일반영화
949,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2016-12-22,개봉영화,장편,일본,480,"2,147,083,300","282,419","425,667,500","53,872",애니메이션,전체관람가,일반영화
950,프레데터스,님로드 안탈,투엔티쓰 센츄리-폭스 필름 코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-08-26,개봉영화,장편,미국,230,"2,025,850,507","281,642","538,838,500","70,677",액션,15세이상관람가,일반영화
951,오큘러스,마이크 플래너건,,(주)메인타이틀픽쳐스,씨네그루(주)다우기술,2014-05-29,개봉영화,장편,미국,336,"2,122,466,537","279,488","470,167,537","59,344",미스터리,15세이상관람가,일반영화
952,극장판 안녕 자두야,손석우,"아툰즈,씨제이이앤엠(주)",,씨제이이앤엠(주),2016-05-04,개봉영화,장편,한국,523,"2,124,832,300","278,914","377,332,100","46,697",애니메이션,전체관람가,일반영화
953,사랑에 대한 모든 것,제임스 마쉬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-12-10,개봉영화,장편,미국,399,"2,162,660,589","278,015","1,027,037,089","128,065",멜로/로맨스,12세이상관람가,일반영화
954,원스 어폰 어 타임... 인 할리우드,쿠엔틴 타란티노,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-09-25,개봉영화,장편,미국,678,"2,269,807,670","277,319","1,107,269,480","130,601",드라마,청소년관람불가,일반영화
955,존 윅 - 리로드,채드 스타헬스키,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2017-02-22,개봉영화,장편,미국,250,"2,205,582,600","276,379","752,850,000","92,798",액션,청소년관람불가,일반영화
956,우리는 동물원을 샀다,카메론 크로우,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-01-18,개봉영화,장편,미국,235,"1,993,190,500","276,334","734,710,500","97,041",가족,전체관람가,일반영화
957,눈의 여왕,"블라드 바르베,막심 스베쉬니코브",,(주)씨씨에스미디어,(주)넥스트엔터테인먼트월드(NEW),2013-02-07,개봉영화,장편,러시아,316,"1,823,299,000","274,229","387,655,500","54,916",애니메이션,전체관람가,일반영화
958,목소리의 형태,야마다 나오코,,"(주)엔케이컨텐츠,(주)콘텐츠게이트",(주)디스테이션,2017-05-09,개봉영화,장편,일본,466,"2,141,765,014","272,877","567,291,114","69,527",애니메이션,전체관람가,일반영화
959,바울,앤드류 하얏트,,(재)CBS,(재)CBS,2018-10-31,개봉영화,장편,미국,227,"2,138,266,900","272,749","704,852,300","86,082",드라마,15세이상관람가,독립/예술영화
960,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,마스이 소이치,,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2012-04-26,개봉영화,장편,일본,277,"1,804,032,000","272,062","290,029,000","41,908",애니메이션,전체관람가,일반영화
961,울프맨,조 존스톤,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-02-11,개봉영화,장편,미국,266,"2,099,396,881","270,683","664,052,500","81,066",공포(호러),청소년관람불가,일반영화
962,가비,장윤현,(주)오션필름,,(주)시네마서비스,2012-03-15,개봉영화,장편,한국,339,"1,969,360,500","270,602","632,097,000","82,433",드라마,15세이상관람가,일반영화
963,롤러코스터,하정우,(주)판타지오픽쳐스,,씨제이이앤엠(주),2013-10-17,개봉영화,장편,한국,374,"1,913,087,600","270,148","610,177,000","81,230",코미디,15세이상관람가,일반영화
964,헨젤과 그레텔: 마녀 사냥꾼 3D,토미 위르콜라,,씨제이이앤엠(주),씨제이이앤엠(주),2013-02-14,개봉영화,장편,미국,297,"2,122,205,602","269,510","670,928,602","80,519",액션,청소년관람불가,일반영화
965,상하이,미카엘 하프스트롬,,데이지엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2011-01-27,개봉영화,장편,미국,217,"2,039,939,000","269,157","679,833,000","85,280",드라마,15세이상관람가,일반영화
966,모털 엔진,크리스찬 리버스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-12-05,개봉영화,장편,미국,661,"2,329,489,119","268,921","667,168,319","72,846",액션,12세이상관람가,일반영화
967,친구와 연인사이,이반 라이트만,,씨제이엔터테인먼트,씨제이엔터테인먼트,2011-02-10,개봉영화,장편,미국,183,"2,099,697,500","267,843","1,049,828,000","130,927",코미디,청소년관람불가,일반영화
968,파이스토리 : 악당상어 소탕작전,"마크 A.Z. 디페,박태동",,데이지엔터테인먼트,(주)에스비에스콘텐츠허브,2013-01-10,개봉영화,장편,미국,298,"1,807,928,000","267,373","355,218,500","50,053",애니메이션,전체관람가,일반영화
969,19곰 테드,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-09-27,개봉영화,장편,미국,248,"2,034,959,293","266,574","857,462,249","107,453",코미디,청소년관람불가,일반영화
970,백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-02-26,개봉영화,장편,미국,423,"2,016,298,400","266,389","586,021,800","74,127",SF,15세이상관람가,일반영화
971,저스틴,마누엘 시실라,,(주)스마일이엔티,(주)넥스트엔터테인먼트월드(NEW),2013-12-31,개봉영화,장편,스페인,332,"1,764,086,000","266,253","392,422,500","56,899",애니메이션,전체관람가,일반영화
972,투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-05-27,개봉영화,장편,미국,435,"2,082,869,000","265,744","682,335,600","83,016",액션,12세이상관람가,일반영화
973,극장판 도라에몽: 진구의 인어대해전,쿠스바 고조,"TV 아사히,토호 컴퍼니",대원미디어(주),씨제이엔터테인먼트,2010-07-28,개봉영화,장편,일본,144,"1,769,482,593","264,918","400,018,000","57,062",애니메이션,전체관람가,일반영화
974,나를 차버린 스파이,수잔나 포겔,,(주)누리픽쳐스,(주)누리픽쳐스,2018-08-22,개봉영화,장편,미국,278,"2,346,742,100","264,766","741,785,000","82,196",액션,15세이상관람가,일반영화
975,마야,알렉스 스타더만,,㈜세종커뮤니케이션스,(주)박수엔터테인먼트,2014-09-04,개봉영화,장편,독일,295,"1,927,575,700","262,289","408,898,500","52,310",애니메이션,전체관람가,독립/예술영화
976,악질경찰,이정범,"청년필름(주),다이스필름(주)",,워너브러더스 코리아(주),2019-03-20,개봉영화,장편,한국,833,"2,256,615,278","262,233","543,947,088","61,930",범죄,청소년관람불가,일반영화
977,스파이 브릿지,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-11-05,개봉영화,장편,미국,425,"2,015,360,478","260,721","722,246,378","90,018",스릴러,12세이상관람가,일반영화
978,원더,스티븐 크보스키,,"CGV아트하우스,그린나래미디어(주)",CGV아트하우스,2017-12-27,개봉영화,장편,미국,183,"1,988,444,689","260,506","881,872,289","114,196",드라마,전체관람가,독립/예술영화
979,장고:분노의 추적자,쿠엔틴 타란티노,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-21,개봉영화,장편,미국,342,"1,883,634,000","260,144","908,138,000","120,823",서부극(웨스턴),청소년관람불가,일반영화
980,공범자들,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2017-08-17,개봉영화,장편,한국,228,"2,017,678,800","258,478","745,661,900","92,054",다큐멘터리,15세이상관람가,독립/예술영화
981,함정,권형진,(주)데이드림,,(주)인벤트스톤,2015-09-10,개봉영화,장편,한국,445,"2,088,685,200","257,716","411,417,600","50,477",스릴러,청소년관람불가,일반영화
982,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-12,개봉영화,장편,일본,187,"1,885,543,600","257,381","356,320,500","48,679",애니메이션,12세이상관람가,일반영화
983,파이널 데스티네이션5,스티븐 쿼일,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-09-08,개봉영화,장편,미국,168,"2,370,348,500","257,193","880,006,000","87,499",공포(호러),청소년관람불가,일반영화
984,쓰리 데이즈,폴 해기스,"라이온스 게이트 필름즈,피델리트 필름",에스엔엠코리아,롯데쇼핑㈜롯데엔터테인먼트,2010-12-22,개봉영화,장편,미국,211,"1,882,542,699","257,106","621,398,000","80,819",범죄,15세이상관람가,독립/예술영화
985,언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-07,개봉영화,장편,미국,401,"1,997,947,292","256,475","605,776,392","75,489",액션,15세이상관람가,일반영화
986,카우보이 & 에이리언,존 파브로,,씨제이이앤엠(주),씨제이이앤엠(주),2011-08-11,개봉영화,장편,미국,269,"1,930,249,000","256,346","637,026,000","80,926",액션,15세이상관람가,일반영화
987,기묘한 가족,이민재,씨네주 유한회사,,메가박스중앙(주)플러스엠,2019-02-13,개봉영화,장편,한국,625,"2,062,904,275","256,202","465,060,345","56,391",코미디,12세이상관람가,일반영화
988,밤의 여왕,김제영,"(주)영화사아이비젼,(유)밤의여왕문화산업전문회사",,(주)인벤트스톤,2013-10-17,개봉영화,장편,한국,333,"1,762,892,500","252,475","513,568,000","69,050",멜로/로맨스,15세이상관람가,일반영화
989,노벰버 맨,로저 도널드슨,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2014-10-16,개봉영화,장편,미국,395,"1,891,131,320","252,444","526,222,320","67,486",액션,15세이상관람가,일반영화
990,비밀은 없다,이경미,"(주)영화사거미,필름트레인",,씨제이이앤엠(주),2016-06-23,개봉영화,장편,한국,502,"2,027,801,239","250,650","576,619,139","68,878",스릴러,청소년관람불가,일반영화
991,라스트 크리스마스,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2019-12-05,개봉영화,장편,미국,623,"2,049,348,130","248,320","655,652,680","77,146",코미디,12세이상관람가,일반영화
992,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,2015-03-12,개봉영화,장편,한국,368,"1,950,635,763","248,215","551,485,163","67,072",스릴러,15세이상관람가,독립/예술영화
993,월 스트리트: 머니 네버 슬립스,올리버 스톤,에드워드 알 프레스만 필름 코포레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-10-21,개봉영화,장편,미국,286,"1,788,986,817","245,343","783,079,000","100,864",드라마,12세이상관람가,일반영화
994,적과의 동침,박건용,(주)알지엔터웍스,,(주)쇼박스,2011-04-27,개봉영화,장편,한국,391,"1,740,340,000","243,094","558,480,500","74,511",드라마,12세이상관람가,일반영화
995,툼스톤,스콧 프랭크,,"(주)드림웨스트픽쳐스,(주)부메랑모션픽쳐스",(주)인벤트스톤,2014-09-18,개봉영화,장편,미국,378,"1,875,449,247","242,707","599,247,647","74,632",액션,청소년관람불가,일반영화
