url_list,movie_names
/movie/bi/mi/basic.nhn?code=11295,파워 오브 원
/movie/bi/mi/basic.nhn?code=113132,스틸 라이프
/movie/bi/mi/basic.nhn?code=31422,와이키키 브라더스
/movie/bi/mi/basic.nhn?code=13234,파 앤드 어웨이
/movie/bi/mi/basic.nhn?code=150687,다키스트 아워
/movie/bi/mi/basic.nhn?code=56083,호로비츠를 위하여
/movie/bi/mi/basic.nhn?code=19031,러브레터
/movie/bi/mi/basic.nhn?code=53158,웨딩 드레스
/movie/bi/mi/basic.nhn?code=155356,미쓰백
/movie/bi/mi/basic.nhn?code=88473,철가방 우수氏
/movie/bi/mi/basic.nhn?code=16487,길버트 그레이프
/movie/bi/mi/basic.nhn?code=31801,봄날은 간다
/movie/bi/mi/basic.nhn?code=167699,말모이
/movie/bi/mi/basic.nhn?code=37759,아홉살 인생
/movie/bi/mi/basic.nhn?code=10282,스탠 바이 미
/movie/bi/mi/basic.nhn?code=16091,아버지의 이름으로
/movie/bi/mi/basic.nhn?code=177374,증인
/movie/bi/mi/basic.nhn?code=39813,호텔 르완다
/movie/bi/mi/basic.nhn?code=44111,용서받지 못한 자
/movie/bi/mi/basic.nhn?code=27245,책상 서랍 속의 동화
/movie/bi/mi/basic.nhn?code=17970,샤인
/movie/bi/mi/basic.nhn?code=36992,아이덴티티
/movie/bi/mi/basic.nhn?code=45264,누들
/movie/bi/mi/basic.nhn?code=27219,박하사탕
/movie/bi/mi/basic.nhn?code=36944,올드보이
/movie/bi/mi/basic.nhn?code=83213,월플라워
/movie/bi/mi/basic.nhn?code=53034,하모니
/movie/bi/mi/basic.nhn?code=14802,글루미 선데이
/movie/bi/mi/basic.nhn?code=178097,로마
/movie/bi/mi/basic.nhn?code=29102,에린 브로코비치
/movie/bi/mi/basic.nhn?code=68567,블랙
/movie/bi/mi/basic.nhn?code=25906,식스 센스
/movie/bi/mi/basic.nhn?code=16208,퍼펙트 월드
/movie/bi/mi/basic.nhn?code=24668,러브 오브 시베리아
/movie/bi/mi/basic.nhn?code=39894,왕의 남자
/movie/bi/mi/basic.nhn?code=146469,택시운전사
/movie/bi/mi/basic.nhn?code=37929,슈퍼스타 감사용
/movie/bi/mi/basic.nhn?code=39434,레이
/movie/bi/mi/basic.nhn?code=37398,세컨핸드 라이온스
/movie/bi/mi/basic.nhn?code=50724,굿' 바이: Good &amp; Bye
/movie/bi/mi/basic.nhn?code=17521,파리넬리
/movie/bi/mi/basic.nhn?code=125417,파도가 지나간 자리
/movie/bi/mi/basic.nhn?code=13480,얼라이브
/movie/bi/mi/basic.nhn?code=46494,크로싱
/movie/bi/mi/basic.nhn?code=96379,비긴 어게인
/movie/bi/mi/basic.nhn?code=180169,어린 의뢰인
/movie/bi/mi/basic.nhn?code=16868,마이 걸
/movie/bi/mi/basic.nhn?code=93749,코알라
/movie/bi/mi/basic.nhn?code=97696,캡틴 필립스
/movie/bi/mi/basic.nhn?code=174659,휘트니
/movie/bi/mi/basic.nhn?code=31906,K-19 위도우메이커
/movie/bi/mi/basic.nhn?code=102875,국제시장
/movie/bi/mi/basic.nhn?code=37936,빅 피쉬
/movie/bi/mi/basic.nhn?code=112040,개를 훔치는 완벽한 방법
/movie/bi/mi/basic.nhn?code=146560,싱 스트리트
/movie/bi/mi/basic.nhn?code=30076,콜드 마운틴
/movie/bi/mi/basic.nhn?code=136876,독수리 에디
/movie/bi/mi/basic.nhn?code=38464,"조제, 호랑이 그리고 물고기들"
/movie/bi/mi/basic.nhn?code=143357,산이 울다
/movie/bi/mi/basic.nhn?code=146512,스플릿
/movie/bi/mi/basic.nhn?code=66158,어거스트 러쉬
/movie/bi/mi/basic.nhn?code=102272,연평해전
/movie/bi/mi/basic.nhn?code=52528,마이 시스터즈 키퍼
/movie/bi/mi/basic.nhn?code=39809,밀리언 달러 베이비
/movie/bi/mi/basic.nhn?code=31231,말레나
/movie/bi/mi/basic.nhn?code=44020,골!
/movie/bi/mi/basic.nhn?code=17802,제8요일
/movie/bi/mi/basic.nhn?code=95260,더 헌트
/movie/bi/mi/basic.nhn?code=57997,레인 오버 미
/movie/bi/mi/basic.nhn?code=181912,파이브 피트
/movie/bi/mi/basic.nhn?code=65998,원스
/movie/bi/mi/basic.nhn?code=101901,변호인
/movie/bi/mi/basic.nhn?code=17524,불멸의 연인
/movie/bi/mi/basic.nhn?code=26679,아메리칸 뷰티
/movie/bi/mi/basic.nhn?code=122131,서프러제트
/movie/bi/mi/basic.nhn?code=61848,태양의 노래
/movie/bi/mi/basic.nhn?code=26537,키즈 리턴
/movie/bi/mi/basic.nhn?code=129046,리틀 보이
/movie/bi/mi/basic.nhn?code=27109,소년은 울지 않는다
/movie/bi/mi/basic.nhn?code=10238,레인 맨
/movie/bi/mi/basic.nhn?code=130989,룸
/movie/bi/mi/basic.nhn?code=45298,더 리더: 책 읽어주는 남자
/movie/bi/mi/basic.nhn?code=34566,루키
/movie/bi/mi/basic.nhn?code=83160,씨민과 나데르의 별거
/movie/bi/mi/basic.nhn?code=115534,5일의 마중
/movie/bi/mi/basic.nhn?code=93236,초콜렛 도넛
/movie/bi/mi/basic.nhn?code=10262,델마와 루이스
/movie/bi/mi/basic.nhn?code=44728,오만과 편견
