url_list,movie_names,kr_movie_names,director_list,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
/movie/bi/mi/basic.nhn?code=31795,반지의 제왕 2 - 두 개의 탑,반지의 제왕: 두 개의 탑,피터 잭슨,"일라이저 우드, 이안 맥켈런, 비고 모텐슨",9.33,2726,235
/movie/bi/mi/basic.nhn?code=10249,모던 타임즈,모던 타임즈,찰리 채플린,"찰리 채플린, 파울레트 고다드",9.32,1191,87
/movie/bi/mi/basic.nhn?code=18052,바람 계곡의 나우시카,바람계곡의 나우시카,"미야자키 하야오, 코마츠바라 카즈오","시마모토 스미, 츠지무라 마히토, 쿄다 히사코",9.29,1631,116
/movie/bi/mi/basic.nhn?code=31013,빌리 엘리어트,빌리 엘리어트,스티븐 달드리,"제이미 벨, 줄리 월터스, 게리 루이스",9.32,3643,110
/movie/bi/mi/basic.nhn?code=34010,뷰티풀 마인드,뷰티풀 마인드,론 하워드,"러셀 크로우, 에드 해리스, 제니퍼 코넬리",9.24,3521,135
/movie/bi/mi/basic.nhn?code=39636,"지금, 만나러 갑니다","지금, 만나러 갑니다",도이 노부히로,"다케우치 유코, 나카무라 시도, 다케이 아카시",9.34,15488,118
/movie/bi/mi/basic.nhn?code=28788,바이센테니얼 맨,바이센테니얼 맨,크리스 콜럼버스,로빈 윌리엄스,9.3,1966,133
/movie/bi/mi/basic.nhn?code=34324,집으로...,집으로...,이정향,"김을분, 유승호",9.37,2646,87
/movie/bi/mi/basic.nhn?code=19079,굿 윌 헌팅,굿 윌 헌팅,구스 반 산트,맷 데이먼,9.36,4569,126
/movie/bi/mi/basic.nhn?code=31796,반지의 제왕 3 - 왕의 귀환,반지의 제왕: 왕의 귀환,피터 잭슨,"일라이저 우드, 숀 애스틴, 앤디 서키스",9.37,7089,263
/movie/bi/mi/basic.nhn?code=18782,천공의 성 라퓨타,천공의 성 라퓨타,미야자키 하야오,"타나카 마유미, 요코자와 케이코, 하츠이 코토에",9.3,2695,124
/movie/bi/mi/basic.nhn?code=68555,말할 수 없는 비밀,말할 수 없는 비밀,주걸륜,"주걸륜, 계륜미, 황추생",9.27,37970,101
/movie/bi/mi/basic.nhn?code=10028,터미네이터,터미네이터,제임스 카메론,"아놀드 슈왈제네거, 마이클 빈, 린다 해밀턴",9.26,1512,108
/movie/bi/mi/basic.nhn?code=35901,살인의 추억,살인의 추억,봉준호,"송강호, 김상경",9.4,6798,132
/movie/bi/mi/basic.nhn?code=31162,캐스트 어웨이,캐스트 어웨이,로버트 저메키스,"톰 행크스, 헬렌 헌트",9.38,2708,143
/movie/bi/mi/basic.nhn?code=29059,피아니스트의 전설,피아니스트의 전설,쥬세페 토르나토레,"팀 로스, 프루이트 테일러 빈스",9.25,3033,121
