순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,장르,등급,영화구분,screens,total_viewer,directors,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
1,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,사극,15세이상관람가,일반영화,1587,17613682,김한민,"최민식, 류승룡, 조진웅",8.44,66942,128
2,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",,씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,1978,16264944,이병헌,"류승룡, 이하늬, 진선규",8.5,47516,111
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,판타지,12세이상관람가,일반영화,1912,14410754,김용화,"하정우, 차태현, 주지훈",7.83,58111,139
4,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,966,14245998,윤제균,"황정민, 김윤진, 오달수",9.01,41698,126
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,액션,12세이상관람가,일반영화,2835,13934592,안소니 루소,"로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스",9.38,69022,181
6,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1064,13395400,류승완,"황정민, 유아인, 유해진",9.01,40966,123
7,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,2648,13369087,크리스 벅,"크리스틴 벨, 이디나 멘젤",8.7,23948,103
8,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1072,12983330,최동훈,"김윤석, 김혜수, 이정재",7.62,20957,135
9,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,787,12811206,이환경,"류승룡, 박신혜, 갈소원",8.83,46219,127
10,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1519,12705700,최동훈,"전지현, 이정재, 하정우",8.97,41081,139
11,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,어드벤처,전체관람가,일반영화,1311,12552283,가이 리치,"메나 마수드, 윌 스미스, 나오미 스콧",9.38,27192,128
12,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,사극,15세이상관람가,일반영화,810,12319542,추창민,"이병헌, 류승룡, 한효주",9.24,27953,131
13,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,판타지,12세이상관람가,일반영화,2235,12253247,김용화,"하정우, 주지훈, 김향기",7.71,40460,141
14,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,1906,12099971,장훈,"송강호, 토마스 크레취만), 유해진",9.03,49717,137
15,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1788,11565078,연상호,"공유, 정유미, 마동석",8.0,59164,118
16,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,923,11372451,양우석,"송강호, 김영애, 오달수",8.99,94556,127
17,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,액션,12세이상관람가,일반영화,2553,11211880,안소니 루소,"로버트 다우니 주니어, 조슈 브롤린, 크리스 헴스워스",8.96,35847,149
18,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1843,10494499,조스 웨던,"로버트 다우니 주니어, 크리스 헴스워스, 마크 러팔로",8.31,31196,141
19,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,1010,10296101,크리스 벅,"크리스틴 벨, 이디나 멘젤",9.12,36813,108
20,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,SF,12세이상관람가,일반영화,1342,10273803,크리스토퍼 놀란,"매튜 맥커너히, 앤 해서웨이, 마이클 케인",9.1,50768,169
21,기생충,봉준호,(주)바른손이앤에이,,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,1948,10085275,봉준호,"송강호, 이선균, 조여정",8.49,37122,131
22,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,개봉영화,장편,미국,드라마,12세이상관람가,일반영화,936,9948386,브라이언 싱어,"라미 말렉, 루시 보인턴, 귈림 리",9.42,39225,134
23,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,1812,9699092,이일형,"황정민, 강동원",7.94,27632,126
24,엑시트,이상근,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2019-07-31,개봉영화,장편,한국,코미디,12세이상관람가,일반영화,1660,9426011,이상근,"조정석, 윤아",8.29,28001,103
25,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,사극,15세이상관람가,일반영화,1190,9134586,한재림,"송강호, 이정재, 백윤식",8.0,14703,139
27,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",,씨제이이앤엠(주),2013-08-01,개봉영화,장편,한국,SF,15세이상관람가,일반영화,1128,8914845,봉준호,"크리스 에반스, 송강호, 에드 해리스",7.98,38051,125
28,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1991,8677249,안소니 루소,"크리스 에반스, 로버트 다우니 주니어, 스칼렛 요한슨",8.67,37766,147
29,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,씨제이이앤엠(주),2014-01-22,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,692,8656397,황동혁,"심은경, 나문희, 박인환",9.0,20689,124
30,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,어드벤처,12세이상관람가,일반영화,838,8646758,이석훈,"김남길, 손예진",8.28,25473,130
32,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,액션,12세이상관람가,일반영화,2142,8020208,존 왓츠,"톰 홀랜드, 사무엘 L. 잭슨, 젠다야 콜맨",8.33,13934,129
33,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,액션,15세이상관람가,일반영화,976,7817446,김성훈,"현빈, 유해진, 김주혁",8.27,25233,125
34,트랜스포머 3,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-29,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1409,7784807,마이클 베이,"샤이아 라보프, 로지 헌팅턴 휘틀리, 조쉬 더하멜",7.06,13641,152
35,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,1009,7759473,이석훈,"황정민, 정우",7.98,20650,124
37,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1444,7487545,김지운,"송강호, 공유",8.43,23888,140
38,최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,사극,15세이상관람가,일반영화,615,7466976,김한민,"박해일, 류승룡, 김무열",7.87,14299,122
39,써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,씨제이이앤엠(주),2011-05-04,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,472,7328820,강형철,"유호정, 심은경, 강소라",9.11,18302,124
41,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,1299,7231638,장준환,"김윤석, 하정우, 유해진",9.22,32919,129
42,베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-01-30,개봉영화,장편,한국,액션,15세이상관람가,일반영화,894,7166199,류승완,"하정우, 한석규, 류승범",7.83,20101,120
43,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1501,7150541,조의석,"이병헌, 강동원, 김우빈",8.1,22166,143
44,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,1105,7118592,김성훈,"하정우, 배두나, 오달수",8.37,25130,126
45,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26,개봉영화,장편,미국,액션,12세이상관람가,일반영화,967,7074867,조스 웨던,"로버트 다우니 주니어, 스칼렛 요한슨, 크리스 헴스워스",8.8,17925,142
46,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,범죄,청소년관람불가,일반영화,1075,7071763,우민호,"이병헌, 조승우, 백윤식",8.99,25008,130
47,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,전쟁,12세이상관람가,일반영화,1049,7049643,이재한,"이정재, 이범수, 리암 니슨",8.03,40231,110
48,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,1158,6965706,이계벽,"유해진, 이준, 조윤희",8.45,23740,112
49,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1341,6953800,장철수,"김수현, 박기웅, 이현우",7.12,37881,123
51,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,범죄,청소년관람불가,일반영화,1315,6851297,강윤성,"마동석, 윤계상",9.14,28931,121
52,늑대소년,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-10-31,개봉영화,장편,한국,멜로/로맨스,15세이상관람가,일반영화,706,6654837,조성희,"송중기, 박보영",8.65,34367,125
53,군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,액션,15세이상관람가,일반영화,2027,6592151,류승완,"황정민, 소지섭, 송중기",5.29,53865,132
54,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,액션,15세이상관람가,일반영화,1957,6584915,크리스토퍼 맥쿼리,"톰 크루즈, 헨리 카빌, 사이먼 페그",9.12,21677,147
55,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,액션,15세이상관람가,일반영화,1210,6396528,크리스토퍼 놀란,"크리스찬 베일, 마이클 케인, 게리 올드만",9.02,25276,164
57,아저씨,이정범,오퍼스픽쳐스(유),,씨제이엔터테인먼트,2010-08-04,개봉영화,장편,한국,액션,청소년관람불가,일반영화,478,6282774,이정범,"원빈, 김새론",9.24,28611,119
58,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,사극,12세이상관람가,일반영화,1210,6246849,이준익,"송강호, 유아인, 문근영",8.26,21489,125
59,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,액션,15세이상관람가,일반영화,1202,6126488,크리스토퍼 맥쿼리,"톰 크루즈, 제레미 레너, 사이먼 페그",8.75,14628,131
60,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,액션,청소년관람불가,일반영화,706,6125154,매튜 본,"콜린 퍼스, 태런 에저튼, 사무엘 L. 잭슨",8.82,22116,128
61,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,1013,6043458,김학순,"김무열, 진구, 이현우",9.01,29931,130
62,인셉션,크리스토퍼 놀란,"워너 브러더스 픽쳐스,레젼데리 픽쳐스","(주)엔케이컨텐츠,워너브러더스 코리아(주)","(주)디스테이션,워너브러더스 코리아(주)",2010-07-21,개봉영화,장편,미국,드라마,12세이상관람가,일반영화,528,5926948,크리스토퍼 놀란,"레오나르도 디카프리오, 와타나베 켄, 조셉 고든 레빗",9.23,25740,147
63,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,드라마,12세이상관람가,일반영화,696,5911890,톰 후퍼,"휴 잭맨, 앤 해서웨이, 러셀 크로우",8.37,22756,158
64,캡틴 마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,액션,12세이상관람가,일반영화,2100,5801069,애너 보든,"브리 라슨, 사무엘 L. 잭슨, 벤 멘델슨",6.75,36131,123
65,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1972,5661128,후안 안토니오 바요나,"크리스 프랫, 브라이스 달라스 하워드",8.0,16185,127
66,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1102,5636259,김주환,"박서준, 강하늘",8.27,19947,109
67,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,스릴러,15세이상관람가,일반영화,779,5602543,허정,"손현주, 문정희, 전미선",6.78,13494,107
68,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,사극,12세이상관람가,일반영화,964,5593551,허진호,"손예진, 박해일",8.35,22702,127
69,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,743,5583596,김병우,"하정우, 이경영, 전혜진",8.28,17306,97
70,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1290,5546792,콜린 트레보로우,"크리스 프랫, 브라이스 달라스 하워드, 빈센트 도노프리오",7.88,18112,125
71,의형제,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,(주)쇼박스,2010-02-04,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,572,5507106,장훈,"송강호, 강동원",8.86,14333,116
72,감시자들,"조의석,김병서",영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,949,5496547,조의석,"설경구, 정우성, 한효주",7.76,13310,119
73,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1775,5447826,페이튼 리드,"폴 러드, 에반젤린 릴리, 마이클 더글라스",8.62,12587,118
74,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1503,5446379,스콧 데릭슨,"베네딕트 컴버배치, 레이첼 맥아담스, 틸다 스윈튼",8.71,18764,115
75,검은 사제들,장재현,영화사 집,,씨제이이앤엠(주),2015-11-05,개봉영화,장편,한국,미스터리,15세이상관람가,일반영화,1088,5440945,장재현,"김윤석, 강동원",8.32,21507,108
76,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,사극,12세이상관람가,일반영화,1540,5440186,김광식,"조인성, 남주혁, 박성웅",7.99,33394,135
77,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1620,5398994,라이언 쿠글러,채드윅 보스만,7.48,16895,135
78,더 킹,한재림,(주)우주필름,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,1310,5316325,한재림,"조인성, 정우성, 배성우",8.09,22102,134
79,완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,씨제이이앤엠(주),2011-10-20,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,500,5310510,이한,"김윤석, 유아인",8.78,9642,107
80,트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1602,5295801,마이클 베이,"마크 월버그, 니콜라 펠츠, 잭 레이너",6.58,17155,164
81,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,드라마,15세이상관람가,일반영화,1313,5294119,이재규,"유해진, 조진웅, 이서진",8.61,23657,115
82,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-10-02,개봉영화,장편,미국,액션,15세이상관람가,일반영화,1418,5247794,토드 필립스,호아킨 피닉스,8.66,30153,123
84,타워,김지훈,"씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2012-12-25,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,617,5181014,김지훈,"설경구, 손예진, 김상경",8.03,14125,121
85,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,멜로/로맨스,전체관람가,일반영화,1627,5137993,빌 콘돈,"엠마 왓슨, 댄 스티븐스, 루크 에반스",8.78,18306,129
86,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,1357,5063620,이해영,"조진웅, 류준열, 김주혁",7.52,18793,123
88,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1285,5038134,제임스 완,"제이슨 모모아, 앰버 허드, 니콜 키드먼",8.35,19630,143
89,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,1317,4971261,윤종빈,"황정민), 이성민, 조진웅",6.84,22707,137
90,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,777,4968687,피트 닥터,"에이미 포엘러, 필리스 스미스, 민디 캘링",9.08,18246,102
91,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,액션,청소년관람불가,일반영화,1687,4945484,매튜 본,"콜린 퍼스, 줄리안 무어, 태런 에저튼",8.37,20399,141
92,바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,코미디,12세이상관람가,일반영화,694,4897551,김주호,"차태현, 오지호, 민효린",7.59,8103,121
93,마션,리들리 스콧,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2015-10-08,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1132,4875494,리들리 스콧,"맷 데이먼, 제시카 차스테인, 세바스찬 스탠",8.42,15649,144
94,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1640,4857152,타이카 와이티티,"크리스 헴스워스, 마크 러팔로, 톰 히들스턴",8.84,17170,130
95,어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1118,4853123,마크 웹,"앤드류 가필드, 엠마 스톤, 리스 이판",7.74,9067,136
100,라이온 킹,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,개봉영화,장편,미국,어드벤처,전체관람가,일반영화,1936,4743184,존 파브로,"도날드 글로버, 비욘세, 제임스 얼 존스",8.27,9351,118
102,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,661,4703245,바이론 하워드,"지니퍼 굿윈, 제이슨 베이트먼, 샤키라",9.36,18569,108
103,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,개봉영화,장편,미국,액션,12세이상관람가,일반영화,801,4697142,더그 라이만,"톰 크루즈, 에밀리 블런트, 빌 팩스톤",8.95,16644,113
104,신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,범죄,청소년관람불가,일반영화,671,4682492,박훈정,"이정재, 최민식, 황정민",8.92,21383,134
105,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,어드벤처,12세이상관람가,일반영화,1431,4666993,데이빗 예이츠,"에디 레드메인, 콜린 파렐, 캐서린 워터스턴",8.18,15522,132
106,도가니,황동혁,"(주)삼거리픽쳐스,(주)판타지오",,씨제이이앤엠(주),2011-09-22,개봉영화,장편,한국,드라마,청소년관람불가,일반영화,644,4662822,황동혁,"공유, 정유미",9.27,10212,125
107,내 아내의 모든 것,민규동,"(주)수필름,영화사 집",,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,563,4598583,민규동,"임수정, 이선균, 류승룡",8.57,8857,121
108,나쁜 녀석들: 더 무비,손용호,"씨제이이앤엠(주),(주)영화사비단길",,씨제이이앤엠(주),2019-09-11,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,1511,4573902,손용호,"마동석, 김상중, 김아중",6.44,10237,114
109,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,1166,4571142,박정우,"김남길, 김주현, 정진영",8.25,19575,136
110,연가시,박정우,(주)오죤필름,,씨제이이앤엠(주),2012-07-05,개봉영화,장편,한국,공포(호러),15세이상관람가,일반영화,759,4513026,박정우,"김명민, 문정희, 김동완",7.18,12985,109
111,아이언맨 2,존 파브로,"파라마운트 픽쳐스,마블 엔터프라이즈",씨제이엔터테인먼트,씨제이엔터테인먼트,2010-04-29,개봉영화,장편,미국,SF,12세이상관람가,일반영화,757,4498335,존 파브로,"로버트 다우니 주니어, 기네스 팰트로, 돈 치들",7.36,6578,125
112,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1426,4451336,양우석,"정우성, 곽도원",8.34,19174,139
114,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1056,4313871,브라이언 싱어,"휴 잭맨, 제임스 맥어보이, 마이클 패스벤더",8.88,14047,134
115,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,씨제이이앤엠(주),2016-06-01,개봉영화,장편,한국,스릴러,청소년관람불가,일반영화,1171,4277071,박찬욱,"김민희, 김태리, 하정우",7.13,23589,144
116,어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1312,4168350,마크 웹,"앤드류 가필드, 엠마 스톤",7.76,13008,142
117,용의자,원신연,"(주)그린피쉬,(주)쇼박스",,(주)쇼박스,2013-12-24,개봉영화,장편,한국,액션,15세이상관람가,일반영화,807,4131248,원신연,"공유, 박희순, 조성하",8.37,10695,137
118,건축학개론,이용주,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,개봉영화,장편,한국,멜로/로맨스,12세이상관람가,일반영화,593,4110645,이용주,"엄태웅, 한가인, 이제훈",8.67,15019,118
119,댄싱퀸,이석훈,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-01-18,개봉영화,장편,한국,코미디,12세이상관람가,일반영화,534,4057546,이석훈,"황정민, 엄정화",8.87,6257,124
