순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,장르,등급,영화구분,screens,total_viewer,directors,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
648,그린 존,폴 그린그래스,유니버셜 픽쳐스,(주)월드시네마,(주)싸이더스,2010-03-25,개봉영화,장편,미국,드라마,15세이상관람가,일반영화,280,606841,폴 그린그래스,"맷 데이먼, 제이슨 아이삭스",7.73,1781,114
650,이층의 악당,손재곤,(유)이층의 악당 문화산업전문회사,,(주)싸이더스,2010-11-24,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,384,605224,손재곤,"한석규, 김혜수",8.05,2660,115
653,반가운 살인자,김동욱,(주)영화사소풍,,롯데쇼핑㈜롯데엔터테인먼트,2010-04-08,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,261,599176,김동욱,"유오성, 김동욱, 심은경",7.6,3519,107
654,우는 남자,이정범,다이스필름(주),,씨제이이앤엠(주),2014-06-04,개봉영화,장편,한국,액션,청소년관람불가,일반영화,508,599050,이정범,"장동건, 김민희",6.0,3969,116
655,콜롬비아나,올리비에 메가턴,,데이지엔터테인먼트,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-08-31,개봉영화,장편,미국,액션,15세이상관람가,일반영화,397,598373,올리비에 메가턴,"조 샐다나, 마이클 바턴",7.47,1381,105
656,타잔 3D,라인하드 클루스,,우성엔터테인먼트,(주)싸이더스,2014-01-09,개봉영화,장편,독일,애니메이션,전체관람가,일반영화,527,597142,라인하드 클루스,"켈란 루츠, 스펜서 로크",7.57,943,94
657,레터스 투 줄리엣,게리 위닉,서미트 엔터티인먼트,(주)유니코리아문예투자,(주)넥스트엔터테인먼트월드(NEW),2010-10-06,개봉영화,장편,미국,멜로/로맨스,12세이상관람가,일반영화,284,593630,게리 위닉,"아만다 사이프리드, 크리스토퍼 이건, 바네사 레드그레이브",8.65,2926,105
658,황제를 위하여,박상준,오퍼스픽쳐스(유),,유나이티드픽처스(주),2014-06-11,개봉영화,장편,한국,액션,청소년관람불가,일반영화,423,592041,박상준,"이민기, 박성웅, 이태임",6.06,4544,104
659,맨 온 렛지,애스게르 레스,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2012-02-22,개봉영화,장편,미국,범죄,15세이상관람가,일반영화,408,591841,애스게르 레스,"샘 워싱턴, 엘리자베스 뱅크스, 제이미 벨",7.29,1475,102
660,패션왕,오기환,"주식회사 와이랩,(주)노마드필름",,(주)넥스트엔터테인먼트월드(NEW),2014-11-06,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,523,591125,오기환,"주원, 최진리",5.28,5629,114
661,그것: 두 번째 이야기,안드레스 무시에티,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-09-04,개봉영화,장편,미국,스릴러,15세이상관람가,일반영화,999,591043,안드레스 무시에티,"빌 스카스가드, 제임스 맥어보이, 제시카 차스테인",6.22,3365,169
663,극장판 헬로카봇 : 달나라를 구해줘!,"최신규,김진철",(주)초이락컨텐츠팩토리,,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-04,개봉영화,장편,한국,애니메이션,전체관람가,일반영화,889,587818,최신규,"이지현, 김용준, 양정화",7.51,922,76
665,퀴즈왕,장진,소란플레이먼트(주),,(주)시네마서비스,2010-09-16,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,323,583183,장진,"김수로, 한재석, 송영창",5.9,1505,121
666,마법사의 제자,존 터틀타웁,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-21,개봉영화,장편,미국,드라마,전체관람가,일반영화,298,582698,존 터틀타웁,니콜라스 케이지,7.47,2173,107
667,다크 섀도우,팀 버튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-05-10,개봉영화,장편,미국,드라마,15세이상관람가,일반영화,394,582126,팀 버튼,"조니 뎁, 에바 그린, 미셸 파이퍼",5.86,2478,112
669,인시디어스: 두번째 집,제임스 완,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-05,개봉영화,장편,미국,공포(호러),15세이상관람가,일반영화,405,577758,제임스 완,"로즈 번, 패트릭 윌슨, 린 샤예",7.24,1610,106
670,백설공주,타셈 싱,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-05-03,개봉영화,장편,미국,판타지,전체관람가,일반영화,386,576150,타셈 싱,"줄리아 로버츠, 릴리 콜린스, 아미 해머",7.47,1660,108
672,채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,개봉영화,장편,미국,액션,15세이상관람가,일반영화,536,573657,닐 블롬캠프,"휴 잭맨, 샬토 코플리, 시고니 위버",7.77,4300,120
674,루퍼,라이언 존슨,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-10-11,개봉영화,장편,미국,SF,청소년관람불가,일반영화,386,570010,라이언 존슨,"조셉 고든 레빗, 브루스 윌리스, 에밀리 블런트",8.01,3709,119
676,화이트 하우스 다운,롤랜드 에머리히,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-06-27,개봉영화,장편,미국,액션,15세이상관람가,일반영화,480,569500,롤랜드 에머리히,"채닝 테이텀, 제이미 폭스, 매기 질렌할",7.43,2361,131
677,이스케이프 룸,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-03-14,개봉영화,장편,미국,액션,15세이상관람가,일반영화,850,563114,애덤 로비텔,"테일러 러셀, 로건 밀러, 제이 엘리스",7.63,2456,100
678,파파,한지승,상상필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2012-02-01,개봉영화,장편,한국,가족,12세이상관람가,일반영화,414,562156,한지승,"박용우, 고아라",8.12,2582,118
679,스텝 업: 올 인,트리시 시에,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-09-03,개봉영화,장편,미국,드라마,12세이상관람가,일반영화,325,560620,트리시 시에,"라이언 구즈먼, 브리아나 에비건, 애덤 G. 세바니",7.99,2206,111
682,인시디어스4: 라스트 키,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-31,개봉영화,장편,미국,공포(호러),15세이상관람가,일반영화,769,554521,애덤 로비텔,"린 샤예, 스펜서 로크, 조쉬 스튜어트",6.82,2593,103
683,양자물리학,이성태,(주)엠씨엠씨,,(주)메리크리스마스,2019-09-25,개봉영화,장편,한국,범죄,15세이상관람가,일반영화,799,553879,이성태,"박해수, 서예지, 김상호",8.29,5621,119
684,아이스 에이지: 지구 대충돌,마이크 트메이어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-07-20,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,580,553760,마이크 트메이어,"존 레귀자모, 레이 로마노, 제니퍼 로페즈",8.19,2656,94
686,메카닉: 리크루트,데니스 간젤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-08-31,개봉영화,장편,미국,액션,15세이상관람가,일반영화,320,551897,데니스 간젤,"제이슨 스타뎀, 제시카 알바, 토미 리 존스",6.61,1210,98
687,극장판 요괴워치: 탄생의 비밀이다냥!,"타카하시 시게하루,우시로 신지",,씨제이이앤엠(주),씨제이이앤엠(주),2015-07-22,개봉영화,장편,일본,애니메이션,전체관람가,일반영화,509,550728,타카하시 시게하루,"박경혜, 김현지, 홍범기",8.79,2019,97
688,점박이 한반도의 공룡2 : 새로운 낙원,한상호,(주)드림써치C&C,,(주)넥스트엔터테인먼트월드(NEW),2018-12-25,개봉영화,장편,한국,애니메이션,전체관람가,일반영화,672,550059,한상호,"박희순, 라미란, 김성균",9.12,1736,94
689,너는 펫,김병곤,컴어나더(주),,롯데쇼핑㈜롯데엔터테인먼트,2011-11-10,개봉영화,장편,한국,멜로/로맨스,12세이상관람가,일반영화,341,540972,김병곤,"김하늘, 장근석",6.25,3075,110
